horizonte_minutos,horizonte_texto,variable,importancia
15,15 min,iaq_promedio,0.051930270727211944
15,15 min,iaq_lag_1,0.08105550217329462
15,15 min,iaq_lag_2,0.09896336385553381
15,15 min,iaq_lag_5,0.021184932600403307
15,15 min,iaq_ma_5,0.07328079138946679
15,15 min,iaq_trend_1,0.008422566420030444
15,15 min,iaq_trend_5,0.012806545753630716
15,15 min,eco2_promedio,0.15807019318324267
15,15 min,eco2_trend_1,0.008153368814813986
15,15 min,voc_promedio,0.14253293982386614
15,15 min,voc_trend_1,0.005908243782179355
15,15 min,temperatura_promedio,0.05949303048476573
15,15 min,humedad_promedio,0.04989632298633594
15,15 min,gas_promedio,0.1460300223312309
15,15 min,eventos_minuto,0.0
15,15 min,sin_minuto_hora,0.06000945537019438
15,15 min,cos_minuto_hora,0.021634731373624854
15,15 min,sin_hora_dia,1.827872443776614E-4
15,15 min,cos_hora_dia,4.4493168579687537E-4
30,30 min,iaq_promedio,0.06934727978363546
30,30 min,iaq_lag_1,0.07466805663386794
30,30 min,iaq_lag_2,0.028184643658853845
30,30 min,iaq_lag_5,0.025987040432314326
30,30 min,iaq_ma_5,0.024635628393855177
30,30 min,iaq_trend_1,0.0046919454831635685
30,30 min,iaq_trend_5,0.006455374639301266
30,30 min,eco2_promedio,0.06011378686550522
30,30 min,eco2_trend_1,0.0033571253130862833
30,30 min,voc_promedio,0.08945318438023286
30,30 min,voc_trend_1,0.0034921052880533964
30,30 min,temperatura_promedio,0.07502980284870002
30,30 min,humedad_promedio,0.039669989626679204
30,30 min,gas_promedio,0.09943250295166287
30,30 min,eventos_minuto,0.0
30,30 min,sin_minuto_hora,0.03640473753392784
30,30 min,cos_minuto_hora,0.35637454236603433
30,30 min,sin_hora_dia,0.0019504713149597341
30,30 min,cos_hora_dia,7.517824861667949E-4
60,1 h,iaq_promedio,0.17470288809386833
60,1 h,iaq_lag_1,0.0561568587025476
60,1 h,iaq_lag_2,0.029925836559076026
60,1 h,iaq_lag_5,0.009716375188430923
60,1 h,iaq_ma_5,0.01755942563053205
60,1 h,iaq_trend_1,0.020225809966811538
60,1 h,iaq_trend_5,0.022813178418677908
60,1 h,eco2_promedio,0.11515953156749843
60,1 h,eco2_trend_1,0.026565167957085203
60,1 h,voc_promedio,0.14044016098420456
60,1 h,voc_trend_1,0.00737144352201981
60,1 h,temperatura_promedio,0.0767842531327459
60,1 h,humedad_promedio,0.10365891543584727
60,1 h,gas_promedio,0.14990031742119878
60,1 h,eventos_minuto,0.0
60,1 h,sin_minuto_hora,0.006420226798699317
60,1 h,cos_minuto_hora,0.04125256484180398
60,1 h,sin_hora_dia,0.0012616768022620105
60,1 h,cos_hora_dia,8.536897669039567E-5
