horizonte_minutos,horizonte_texto,minuto,estacion,iaq_actual,iaq_real_futuro,iaq_predicho,error_abs
15,15 min,2026-06-23T04:38:00.000Z,Aula UPeU - Alta Afluencia,74.22,91.37,91.81,0.44
15,15 min,2026-06-23T04:39:00.000Z,Aula UPeU - Alta Afluencia,75.67,92.88,93.22,0.34
15,15 min,2026-06-23T04:40:00.000Z,Aula UPeU - Alta Afluencia,77.24,93.4,93.24,0.16
15,15 min,2026-06-23T04:41:00.000Z,Aula UPeU - Alta Afluencia,78.86,94.21,94.59,0.38
15,15 min,2026-06-23T04:42:00.000Z,Aula UPeU - Alta Afluencia,79.61,94.84,95.41,0.57
15,15 min,2026-06-23T04:43:00.000Z,Aula UPeU - Alta Afluencia,80.63,96.18,96.25,0.07
15,15 min,2026-06-23T04:44:00.000Z,Aula UPeU - Alta Afluencia,82.13,97.03,97.95,0.92
15,15 min,2026-06-23T04:45:00.000Z,Aula UPeU - Alta Afluencia,83.14,97.86,98.04,0.18
15,15 min,2026-06-23T04:46:00.000Z,Aula UPeU - Alta Afluencia,84.05,98.13,99.09,0.96
15,15 min,2026-06-23T04:47:00.000Z,Aula UPeU - Alta Afluencia,85.91,98.99,99.49,0.5
15,15 min,2026-06-23T04:48:00.000Z,Aula UPeU - Alta Afluencia,86.71,99.91,99.25,0.66
15,15 min,2026-06-23T04:49:00.000Z,Aula UPeU - Alta Afluencia,87.65,101.07,101.58,0.51
15,15 min,2026-06-23T04:50:00.000Z,Aula UPeU - Alta Afluencia,88.89,101.19,101.28,0.09
15,15 min,2026-06-23T04:51:00.000Z,Aula UPeU - Alta Afluencia,89.54,102.59,102.69,0.1
15,15 min,2026-06-23T04:52:00.000Z,Aula UPeU - Alta Afluencia,90.89,103.15,103.34,0.19
15,15 min,2026-06-23T04:53:00.000Z,Aula UPeU - Alta Afluencia,91.37,103.32,103.97,0.65
15,15 min,2026-06-23T04:54:00.000Z,Aula UPeU - Alta Afluencia,92.88,104.59,103.89,0.7
15,15 min,2026-06-23T04:55:00.000Z,Aula UPeU - Alta Afluencia,93.4,105.16,102.04,3.12
15,15 min,2026-06-23T04:56:00.000Z,Aula UPeU - Alta Afluencia,94.21,106.84,106.7,0.14
15,15 min,2026-06-23T04:57:00.000Z,Aula UPeU - Alta Afluencia,94.84,106.81,107.14,0.33
15,15 min,2026-06-23T04:58:00.000Z,Aula UPeU - Alta Afluencia,96.18,108.1,107.56,0.54
15,15 min,2026-06-23T04:59:00.000Z,Aula UPeU - Alta Afluencia,97.03,108.94,108.65,0.29
15,15 min,2026-06-23T05:00:00.000Z,Aula UPeU - Alta Afluencia,97.86,109.05,109.28,0.23
15,15 min,2026-06-23T05:01:00.000Z,Aula UPeU - Alta Afluencia,98.13,110.6,109.47,1.13
15,15 min,2026-06-23T05:02:00.000Z,Aula UPeU - Alta Afluencia,98.99,111.5,109.96,1.54
15,15 min,2026-06-23T05:03:00.000Z,Aula UPeU - Alta Afluencia,99.91,112.35,107.12,5.23
15,15 min,2026-06-23T05:04:00.000Z,Aula UPeU - Alta Afluencia,101.07,80.13,85.38,5.25
15,15 min,2026-06-23T05:05:00.000Z,Aula UPeU - Alta Afluencia,101.19,56.36,64.44,8.08
15,15 min,2026-06-23T05:06:00.000Z,Aula UPeU - Alta Afluencia,102.59,54.07,54.45,0.38
15,15 min,2026-06-23T05:07:00.000Z,Aula UPeU - Alta Afluencia,103.15,50.87,54.79,3.92
15,15 min,2026-06-23T05:08:00.000Z,Aula UPeU - Alta Afluencia,103.32,49.02,49.82,0.8
15,15 min,2026-06-23T05:09:00.000Z,Aula UPeU - Alta Afluencia,104.59,46.14,46.43,0.29
15,15 min,2026-06-23T05:10:00.000Z,Aula UPeU - Alta Afluencia,105.16,44.36,44.81,0.45
15,15 min,2026-06-23T05:11:00.000Z,Aula UPeU - Alta Afluencia,106.84,41.93,42.53,0.6
15,15 min,2026-06-23T05:12:00.000Z,Aula UPeU - Alta Afluencia,106.81,39.78,39.98,0.2
15,15 min,2026-06-23T05:13:00.000Z,Aula UPeU - Alta Afluencia,108.1,36.78,36.32,0.46
15,15 min,2026-06-23T05:14:00.000Z,Aula UPeU - Alta Afluencia,108.94,35.11,36.61,1.5
15,15 min,2026-06-23T05:15:00.000Z,Aula UPeU - Alta Afluencia,109.05,32.58,34.27,1.69
15,15 min,2026-06-23T05:16:00.000Z,Aula UPeU - Alta Afluencia,110.6,30.24,32.75,2.51
15,15 min,2026-06-23T05:17:00.000Z,Aula UPeU - Alta Afluencia,111.5,27.93,30.17,2.24
15,15 min,2026-06-23T05:18:00.000Z,Aula UPeU - Alta Afluencia,112.35,51.42,39.59,11.83
15,15 min,2026-06-23T05:19:00.000Z,Aula UPeU - Alta Afluencia,80.13,68.69,70.37,1.68
15,15 min,2026-06-23T05:20:00.000Z,Aula UPeU - Alta Afluencia,56.36,70.0,71.17,1.17
15,15 min,2026-06-23T05:21:00.000Z,Aula UPeU - Alta Afluencia,54.07,71.28,72.91,1.63
15,15 min,2026-06-23T05:22:00.000Z,Aula UPeU - Alta Afluencia,50.87,72.5,72.88,0.38
15,15 min,2026-06-23T05:23:00.000Z,Aula UPeU - Alta Afluencia,49.02,73.76,73.71,0.05
15,15 min,2026-06-23T05:24:00.000Z,Aula UPeU - Alta Afluencia,46.14,74.87,74.9,0.03
